"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"28",1928,-20.2000007629395,-16.6000003814697,-19.8000011444092,-7,3.70000004768372,10.5,11.6999998092651,8.80000019073486,2.40000009536743,-8.10000038146973,-13.4000005722046,-18.8999996185303
"29",1929,-20.3000011444092,-17.6000003814697,-19.3000011444092,-6.70000028610229,3.79999995231628,10.5,10.6000003814697,8.60000038146973,6.09999990463257,-5,-14,-25
"30",1930,-24.3999996185303,-27.8000011444092,-17.7000007629395,-7.09999990463257,4.5,10.1999998092651,12.5,9.90000057220459,3.60000014305115,-7.90000009536743,-20.2000007629395,-18.8000011444092
"31",1931,-20.2000007629395,-17,-16.7000007629395,-6.20000028610229,2.40000009536743,9.90000057220459,10.6000003814697,8.40000057220459,3.20000004768372,-7.80000019073486,-16.3000011444092,-23.8000011444092
"32",1932,-28.8000011444092,-29.5,-14.1999998092651,-3.70000004768372,3.90000009536743,9.10000038146973,11.6000003814697,8.5,2.70000004768372,-6.30000019073486,-23.5,-24.8999996185303
"33",1933,-31.2000007629395,-24.1000003814697,-17.2000007629395,-5.20000028610229,4,8.10000038146973,11.1000003814697,9,2.40000009536743,-10,-16.7000007629395,-33.2999992370605
"34",1934,-30.8000011444092,-15.6999998092651,-16.3999996185303,-4.70000028610229,3.60000014305115,9.69999980926514,10.6999998092651,9.19999980926514,3.29999995231628,-5.09999990463257,-17.6000003814697,-20.3999996185303
"35",1935,-26.3000011444092,-16.3999996185303,-18.5,-6.5,1.80000007152557,9,11.9000005722046,7.20000028610229,2.5,-8.80000019073486,-19.8999996185303,-24.8999996185303
"36",1936,-24,-28,-16.3999996185303,-6.5,4.20000028610229,12.5,12,10.9000005722046,2.5,-5.59999990463257,-15.1000003814697,-27.7000007629395
"37",1937,-17.8000011444092,-24.5,-15.6999998092651,-6.80000019073486,2.40000009536743,11.1000003814697,11.4000005722046,8.19999980926514,5,-4.09999990463257,-14.4000005722046,-24.3000011444092
"38",1938,-26.6000003814697,-24.3999996185303,-14.9000005722046,-3.70000004768372,4.09999990463257,9.30000019073486,11.8000001907349,9.80000019073486,6.09999990463257,-2.10000014305115,-15.8000001907349,-21.6000003814697
"39",1939,-24.6000003814697,-22.5,-18.2000007629395,-5.30000019073486,3.70000004768372,10.4000005722046,12.1000003814697,8.60000038146973,2.70000004768372,-9.69999980926514,-18.6000003814697,-18
"40",1940,-18.8999996185303,-18.3999996185303,-14.3000001907349,-0.400000005960464,4.70000028610229,10.5,12.8000001907349,9.90000057220459,4.80000019073486,-5.20000028610229,-17.2000007629395,-19.8999996185303
"41",1941,-24,-16.3999996185303,-13.5,-2.40000009536743,4.59999990463257,11.3000001907349,11.4000005722046,10.8000001907349,3.29999995231628,-8.80000019073486,-20.1000003814697,-24.8000011444092
"42",1942,-17.6000003814697,-14.6000003814697,-16.1000003814697,-4.20000028610229,6.70000028610229,11.4000005722046,12.4000005722046,10.3000001907349,5.59999990463257,-4.80000019073486,-21.5,-30.8999996185303
"43",1943,-29.2000007629395,-17.8999996185303,-16.3000011444092,-4.90000009536743,4.70000028610229,12,12.1999998092651,9,4.20000028610229,-4.80000019073486,-12.1000003814697,-17.3000011444092
"44",1944,-20.8999996185303,-15.5,-16.7000007629395,-7.90000009536743,4.70000028610229,11,12.6999998092651,8.69999980926514,3.10000014305115,-4.80000019073486,-15.9000005722046,-19.7000007629395
"45",1945,-17.3000011444092,-17.6000003814697,-15.6999998092651,-9.10000038146973,1.5,8.80000019073486,11.4000005722046,8.90000057220459,3.40000009536743,-6.59999990463257,-23.5,-21.3000011444092
"46",1946,-21.3000011444092,-19.7000007629395,-19.8999996185303,-7.09999990463257,4.40000009536743,12.3000001907349,13.1000003814697,8.40000057220459,3.29999995231628,-4.5,-21.3000011444092,-31.2000007629395
"47",1947,-31.3999996185303,-20.2000007629395,-12,-6.09999990463257,4.70000028610229,9.30000019073486,13.1999998092651,7.40000009536743,2.60000014305115,-6.70000028610229,-12.3000001907349,-16.8999996185303
"48",1948,-19.7000007629395,-23.8000011444092,-18.7000007629395,-9.40000057220459,3.70000004768372,11.1000003814697,11.3000001907349,7.09999990463257,2,-6.5,-20.8999996185303,-29
"49",1949,-23.2000007629395,-26.7000007629395,-11,-8.10000038146973,2.10000014305115,7.59999990463257,11.6999998092651,9.69999980926514,5.90000009536743,-6.20000028610229,-11.9000005722046,-26.3999996185303
"50",1950,-24.8000011444092,-29.5,-12.4000005722046,-6.09999990463257,4.30000019073486,11,12.8000001907349,10.9000005722046,4.90000009536743,-6.90000009536743,-23.8000011444092,-21.3000011444092
"51",1951,-29.3999996185303,-24.3999996185303,-21.5,-3.70000004768372,5.30000019073486,9.69999980926514,12.8000001907349,10.6999998092651,4.80000019073486,-9.90000057220459,-13.6999998092651,-24.8000011444092
"52",1952,-29.8000011444092,-20.5,-16.3000011444092,-6.80000019073486,1,10.1000003814697,11.9000005722046,8.60000038146973,2.20000004768372,-4.40000009536743,-9.80000019073486,-20.1000003814697
"53",1953,-30.5,-18.3000011444092,-17.5,-2.5,5.70000028610229,12.1000003814697,13.1000003814697,9.80000019073486,4,-7.30000019073486,-17.8999996185303,-20.8000011444092
"54",1954,-24.8999996185303,-27.2000007629395,-13.9000005722046,-8.40000057220459,5,10.1000003814697,11.5,10.6000003814697,3,-4.5,-12.6999998092651,-29.7000007629395
"55",1955,-19.5,-25.3999996185303,-16.3000011444092,-8.40000057220459,3.5,9.40000057220459,13.3000001907349,8.10000038146973,3.60000014305115,-7.70000028610229,-25.5,-26.3000011444092
